Local time,open,high,low,close,volume
14.05.2020 00:00:00,1.0821,1.08239,1.07748,1.0806,213993.2003
15.05.2020 00:00:00,1.08061,1.08509,1.07888,1.08183,198840.1225
17.05.2020 00:00:00,1.08088,1.08231,1.08067,1.08186,6917.030897
18.05.2020 00:00:00,1.08186,1.0927,1.07999,1.09139,204151.8646
19.05.2020 00:00:00,1.09138,1.09759,1.09021,1.0926,247821.0598
20.05.2020 00:00:00,1.09262,1.09989,1.09262,1.09796,211258.4395
21.05.2020 00:00:00,1.09794,1.10083,1.09371,1.0949,175874.2926
22.05.2020 00:00:00,1.09491,1.09535,1.08852,1.0898,156656.8098
24.05.2020 00:00:00,1.08956,1.09083,1.08951,1.09079,4079.340008
25.05.2020 00:00:00,1.0908,1.09144,1.08706,1.09016,98775.98741
26.05.2020 00:00:00,1.09015,1.09957,1.08969,1.09784,207536.2803
27.05.2020 00:00:00,1.09785,1.10307,1.0934,1.10166,319490.5503
28.05.2020 00:00:00,1.10165,1.10934,1.09916,1.10779,231205.2036
29.05.2020 00:00:00,1.10778,1.11451,1.10698,1.11036,373017.4469
31.05.2020 00:00:00,1.11129,1.11195,1.11023,1.11156,9217.483496
01.06.2020 00:00:00,1.11155,1.1154,1.11004,1.11251,240616.0627
